,Mese,Giorno,TMinima,TMassima,TMedia,Umidita,Fenomeni,Condizioni
0,Gennaio,1,-1 °C,-5 °C,5 °C,80 %,Nessuno,Sereno
1,Gennaio,2,1 °C,-3 °C,7 °C,85 %,Nessuno,Poco nuvoloso
2,Gennaio,3,3 °C,-1 °C,10 °C,81 %,Nessuno,Poco nuvoloso
3,Gennaio,4,4 °C,-1 °C,10 °C,68 %,Nessuno,Sereno
4,Gennaio,5,5 °C,0 °C,10 °C,40 %,Nessuno,Sereno
5,Gennaio,6,4 °C,0 °C,10 °C,64 %,Nessuno,Nubi sparse
6,Gennaio,7,6 °C,4 °C,9 °C,71 %,Nessuno,Nubi sparse
7,Gennaio,8,5 °C,3 °C,8 °C,88 %,Nessuno,Nubi sparse
8,Gennaio,9,3 °C,0 °C,9 °C,86 %,Nessuno,Poco nuvoloso
9,Gennaio,10,2 °C,-2 °C,8 °C,91 %,Nessuno,Poco nuvoloso
10,Gennaio,11,5 °C,1 °C,9 °C,82 %,Nebbia ,Nubi sparse
11,Gennaio,12,6 °C,1 °C,10 °C,40 %,Nessuno,Sereno
12,Gennaio,13,Missing data,Missing data,Missing data,Missing data,Missing data,Missing data
13,Gennaio,14,4 °C,-1 °C,10 °C,82 %,Nessuno,Poco nuvoloso
14,Gennaio,15,3 °C,-1 °C,9 °C,88 %,Nessuno,Nubi sparse
15,Gennaio,16,7 °C,4 °C,9 °C,88 %,Pioggia ,Nubi sparse
16,Gennaio,17,9 °C,4 °C,11 °C,93 %,Pioggia - Nebbia ,Nebbia
17,Gennaio,18,5 °C,2 °C,11 °C,93 %,Nebbia ,Nebbia al mattino
18,Gennaio,19,3 °C,-1 °C,9 °C,84 %,Nebbia ,Sereno
19,Gennaio,20,4 °C,1 °C,8 °C,82 %,Nessuno,Nubi sparse
20,Gennaio,21,5 °C,2 °C,8 °C,83 %,Pioggia ,Nubi sparse
21,Gennaio,22,7 °C,6 °C,10 °C,91 %,Pioggia ,Nubi sparse
22,Gennaio,23,6 °C,3 °C,10 °C,86 %,Nessuno,Nubi sparse
23,Gennaio,24,7 °C,2 °C,13 °C,76 %,Nessuno,Nubi sparse
24,Gennaio,25,5 °C,2 °C,11 °C,80 %,Nessuno,Nubi sparse
25,Gennaio,26,4 °C,0 °C,10 °C,67 %,Nessuno,Nubi sparse
26,Gennaio,27,2 °C,-2 °C,7 °C,75 %,Nessuno,Nubi sparse
27,Gennaio,28,2 °C,-5 °C,9 °C,74 %,Nessuno,Sereno
28,Gennaio,29,2 °C,-2 °C,4 °C,77 %,Nessuno,Nubi sparse
29,Gennaio,30,3 °C,0 °C,4 °C,92 %,Pioggia ,Coperto
30,Gennaio,31,2 °C,-2 °C,7 °C,81 %,Nessuno,Sereno
31,Febbraio,1,3 °C,0 °C,8 °C,66 %,Nessuno,Nubi sparse
32,Febbraio,2,2 °C,-2 °C,8 °C,85 %,Nessuno,Poco nuvoloso
33,Febbraio,3,3 °C,1 °C,7 °C,80 %,Nessuno,Nubi sparse
34,Febbraio,4,5 °C,0 °C,9 °C,64 %,Nessuno,Nubi sparse
